Mjeritelj;Broj mjerenja;15,8 x 24_1;15,8 x 24_2;15,8 x 24_3;15,8 x 24_4;15,8 x 24_5;15,8 x 24_6;15,8 x 24_7;15,8 x 24_8;15,8 x 24_9;15,8 x 24_10
A;1;20,453;20,385;20,301;20,505;20,541;20,287;20,503;20,347;20,465;20,467
A;2;20,475;20,212;20,411;20,438;20,463;20,378;20,400;20,336;20,246;20,411
A;3;20,582;20,337;20,395;20,407;20,328;20,412;20,513;20,328;20,343;20,348
B;1;20,422;20,400;20,498;20,361;20,463;20,433;20,561;20,239;20,332;20,514
B;2;20,514;20,423;20,418;20,476;20,413;20,498;20,576;20,520;20,342;20,431
B;3;20,535;20,466;20,398;20,425;20,422;20,420;20,517;20,402;20,349;20,425
C;1;20,481;20,522;20,428;20,467;20,540;20,460;20,502;20,312;20,472;20,521
C;2;20,607;20,513;20,550;20,450;20,484;20,493;20,525;20,545;20,502;20,487
C;3;20,594;20,494;20,465;20,526;20,476;20,473;20,595;20,380;20,493;20,565
